lambda,size_counts
0.873,"{810121.0: 1.0, 1.0: 162146.0, 4.0: 1894.0, 2.0: 6271.0, 5.0: 139.0, 3.0: 1186.0, 9.0: 188.0, 6.0: 68.0, 7.0: 26.0, 10.0: 11.0, 8.0: 14.0, 22.0: 1.0, 104.0: 1.0, 11.0: 7.0, 23.0: 1.0, 14.0: 2.0, 20.0: 2.0, 28.0: 1.0, 12.0: 3.0, 39.0: 1.0, 16.0: 1.0, 56.0: 1.0, 15.0: 1.0, 17.0: 4.0, 29.0: 1.0, 27.0: 1.0, 250.0: 1.0}"
0.873,"{817817.0: 1.0, 1.0: 155188.0, 2.0: 5947.0, 4.0: 1952.0, 7.0: 41.0, 5.0: 146.0, 3.0: 1157.0, 6.0: 75.0, 9.0: 188.0, 14.0: 2.0, 17.0: 1.0, 18.0: 2.0, 8.0: 14.0, 13.0: 6.0, 10.0: 5.0, 12.0: 5.0, 11.0: 7.0, 50.0: 1.0, 32.0: 1.0, 21.0: 1.0, 19.0: 1.0, 20.0: 1.0, 26.0: 1.0, 37.0: 1.0}"
0.873,"{810018.0: 1.0, 1.0: 161863.0, 4.0: 1917.0, 2.0: 6357.0, 5.0: 145.0, 3.0: 1243.0, 8.0: 16.0, 9.0: 182.0, 6.0: 58.0, 14.0: 2.0, 7.0: 32.0, 22.0: 1.0, 108.0: 1.0, 10.0: 11.0, 13.0: 4.0, 12.0: 1.0, 20.0: 2.0, 15.0: 3.0, 36.0: 1.0, 76.0: 1.0, 56.0: 1.0, 11.0: 1.0, 16.0: 2.0, 17.0: 1.0, 27.0: 1.0, 30.0: 1.0, 243.0: 1.0}"
0.873,"{800444.0: 1.0, 1.0: 170824.0, 4.0: 1918.0, 2.0: 6574.0, 9.0: 173.0, 3.0: 1277.0, 8.0: 29.0, 7.0: 40.0, 5.0: 147.0, 6.0: 61.0, 11.0: 6.0, 29.0: 1.0, 10.0: 9.0, 38.0: 1.0, 42.0: 1.0, 12.0: 3.0, 74.0: 1.0, 15.0: 3.0, 45.0: 2.0, 21.0: 2.0, 17.0: 1.0, 16.0: 4.0, 28.0: 2.0, 22.0: 1.0, 48.0: 1.0, 67.0: 1.0, 13.0: 1.0, 27.0: 1.0, 31.0: 1.0, 14.0: 1.0}"
0.873,"{817882.0: 1.0, 1.0: 155207.0, 2.0: 6007.0, 4.0: 1937.0, 3.0: 1206.0, 9.0: 188.0, 7.0: 36.0, 5.0: 145.0, 6.0: 67.0, 18.0: 2.0, 8.0: 21.0, 11.0: 4.0, 12.0: 4.0, 17.0: 1.0, 13.0: 2.0, 10.0: 6.0, 33.0: 1.0, 28.0: 1.0}"
0.873,"{810293.0: 1.0, 1.0: 161787.0, 4.0: 1917.0, 2.0: 6272.0, 5.0: 162.0, 3.0: 1203.0, 9.0: 182.0, 8.0: 23.0, 6.0: 66.0, 7.0: 34.0, 13.0: 3.0, 16.0: 3.0, 114.0: 1.0, 10.0: 13.0, 15.0: 4.0, 11.0: 7.0, 39.0: 1.0, 12.0: 2.0, 74.0: 1.0, 53.0: 1.0, 17.0: 2.0, 18.0: 1.0, 14.0: 2.0, 29.0: 1.0, 44.0: 1.0, 22.0: 1.0}"
0.873,"{817672.0: 1.0, 1.0: 155260.0, 2.0: 6057.0, 4.0: 1957.0, 3.0: 1208.0, 10.0: 10.0, 8.0: 15.0, 6.0: 65.0, 9.0: 191.0, 5.0: 126.0, 18.0: 1.0, 13.0: 5.0, 7.0: 31.0, 11.0: 4.0, 19.0: 1.0, 15.0: 1.0, 12.0: 3.0, 14.0: 1.0, 32.0: 1.0, 29.0: 1.0, 26.0: 1.0, 28.0: 1.0}"
0.873,"{800995.0: 1.0, 1.0: 170439.0, 4.0: 1941.0, 2.0: 6424.0, 9.0: 173.0, 3.0: 1233.0, 113.0: 1.0, 7.0: 33.0, 6.0: 69.0, 8.0: 29.0, 24.0: 1.0, 5.0: 198.0, 30.0: 1.0, 10.0: 7.0, 12.0: 5.0, 39.0: 1.0, 11.0: 5.0, 51.0: 1.0, 13.0: 5.0, 14.0: 1.0, 22.0: 1.0, 15.0: 1.0, 17.0: 1.0, 46.0: 1.0, 35.0: 1.0, 47.0: 1.0, 18.0: 2.0, 19.0: 1.0, 16.0: 2.0, 41.0: 1.0}"
0.873,"{809890.0: 1.0, 1.0: 162240.0, 3.0: 1179.0, 4.0: 1899.0, 2.0: 6292.0, 5.0: 146.0, 6.0: 72.0, 9.0: 179.0, 59.0: 1.0, 7.0: 39.0, 54.0: 1.0, 8.0: 21.0, 83.0: 1.0, 36.0: 1.0, 21.0: 2.0, 13.0: 4.0, 11.0: 5.0, 14.0: 5.0, 10.0: 7.0, 12.0: 2.0, 23.0: 1.0, 75.0: 1.0, 15.0: 2.0, 46.0: 1.0, 37.0: 1.0, 19.0: 1.0, 121.0: 1.0, 43.0: 1.0}"
0.873,"{817806.0: 1.0, 1.0: 155201.0, 5.0: 150.0, 4.0: 1905.0, 2.0: 5988.0, 8.0: 17.0, 3.0: 1187.0, 7.0: 32.0, 9.0: 180.0, 22.0: 1.0, 6.0: 52.0, 21.0: 3.0, 10.0: 12.0, 39.0: 1.0, 32.0: 1.0, 54.0: 2.0, 14.0: 2.0, 12.0: 4.0, 15.0: 3.0, 11.0: 4.0, 56.0: 1.0, 74.0: 1.0, 33.0: 1.0, 20.0: 1.0, 31.0: 2.0}"
