lambda,size_counts
0.873,"{822232.0: 1.0, 1.0: 151472.0, 4.0: 1856.0, 2.0: 5801.0, 6.0: 53.0, 3.0: 1109.0, 8.0: 13.0, 9.0: 205.0, 5.0: 149.0, 10.0: 10.0, 68.0: 1.0, 21.0: 3.0, 19.0: 2.0, 61.0: 1.0, 13.0: 1.0, 12.0: 2.0, 11.0: 3.0, 7.0: 28.0, 46.0: 1.0, 18.0: 1.0, 49.0: 1.0, 53.0: 1.0, 22.0: 1.0, 14.0: 1.0, 17.0: 2.0, 16.0: 4.0, 15.0: 1.0, 20.0: 1.0}"
0.873,"{814928.0: 1.0, 1.0: 158083.0, 2.0: 5867.0, 4.0: 1899.0, 8.0: 12.0, 3.0: 1171.0, 7.0: 40.0, 9.0: 197.0, 6.0: 68.0, 5.0: 150.0, 16.0: 1.0, 20.0: 5.0, 27.0: 1.0, 33.0: 2.0, 19.0: 3.0, 11.0: 4.0, 10.0: 10.0, 13.0: 4.0, 15.0: 1.0, 12.0: 3.0, 42.0: 1.0, 31.0: 1.0, 18.0: 2.0, 26.0: 1.0, 14.0: 2.0, 29.0: 1.0, 17.0: 1.0, 22.0: 1.0, 39.0: 1.0, 21.0: 1.0, 35.0: 1.0}"
0.873,"{798231.0: 1.0, 1.0: 172945.0, 2.0: 6524.0, 14.0: 3.0, 4.0: 1903.0, 9.0: 178.0, 3.0: 1327.0, 5.0: 160.0, 6.0: 81.0, 10.0: 13.0, 12.0: 4.0, 8.0: 17.0, 11.0: 6.0, 7.0: 29.0, 39.0: 2.0, 31.0: 1.0, 27.0: 1.0, 15.0: 5.0, 73.0: 1.0, 18.0: 2.0, 20.0: 2.0, 13.0: 2.0, 30.0: 1.0, 16.0: 2.0, 41.0: 1.0, 58.0: 1.0, 51.0: 1.0, 32.0: 1.0, 23.0: 1.0, 17.0: 1.0}"
0.873,"{816298.0: 1.0, 1.0: 156598.0, 4.0: 1908.0, 2.0: 6041.0, 3.0: 1158.0, 9.0: 184.0, 8.0: 16.0, 6.0: 59.0, 5.0: 143.0, 12.0: 6.0, 7.0: 35.0, 18.0: 4.0, 14.0: 4.0, 72.0: 1.0, 30.0: 1.0, 15.0: 1.0, 26.0: 2.0, 52.0: 1.0, 20.0: 2.0, 11.0: 3.0, 112.0: 1.0, 10.0: 1.0, 17.0: 2.0, 23.0: 1.0, 24.0: 1.0, 13.0: 2.0, 37.0: 1.0, 39.0: 1.0, 19.0: 1.0}"
0.873,"{814736.0: 1.0, 1.0: 157393.0, 2.0: 5996.0, 4.0: 1924.0, 3.0: 1243.0, 5.0: 158.0, 6.0: 68.0, 10.0: 4.0, 9.0: 215.0, 13.0: 5.0, 7.0: 34.0, 12.0: 2.0, 11.0: 10.0, 14.0: 4.0, 70.0: 1.0, 119.0: 1.0, 8.0: 15.0, 60.0: 1.0, 35.0: 1.0, 15.0: 2.0, 18.0: 1.0, 34.0: 1.0, 22.0: 1.0, 54.0: 1.0, 28.0: 1.0, 94.0: 1.0, 56.0: 1.0, 48.0: 1.0}"
0.873,"{816361.0: 1.0, 1.0: 156521.0, 4.0: 1903.0, 2.0: 5978.0, 5.0: 136.0, 3.0: 1170.0, 9.0: 191.0, 6.0: 66.0, 12.0: 4.0, 7.0: 24.0, 8.0: 22.0, 22.0: 2.0, 10.0: 10.0, 11.0: 4.0, 15.0: 4.0, 16.0: 3.0, 29.0: 2.0, 13.0: 2.0, 17.0: 3.0, 49.0: 1.0, 37.0: 1.0, 118.0: 1.0, 21.0: 1.0, 45.0: 1.0, 14.0: 3.0, 41.0: 1.0, 18.0: 1.0, 24.0: 1.0, 27.0: 1.0}"
0.873,"{795077.0: 1.0, 1.0: 175461.0, 2.0: 6648.0, 4.0: 1941.0, 9.0: 175.0, 5.0: 180.0, 3.0: 1306.0, 7.0: 32.0, 6.0: 70.0, 8.0: 28.0, 28.0: 1.0, 49.0: 1.0, 31.0: 2.0, 14.0: 1.0, 58.0: 1.0, 24.0: 1.0, 13.0: 6.0, 68.0: 1.0, 10.0: 10.0, 12.0: 6.0, 17.0: 4.0, 11.0: 4.0, 29.0: 1.0, 22.0: 1.0, 15.0: 2.0, 21.0: 1.0, 19.0: 3.0, 62.0: 1.0, 50.0: 1.0, 41.0: 1.0, 74.0: 1.0, 23.0: 1.0, 25.0: 1.0, 16.0: 1.0, 26.0: 1.0}"
0.873,"{814871.0: 1.0, 1.0: 157320.0, 3.0: 1208.0, 5.0: 152.0, 2.0: 6122.0, 4.0: 1889.0, 9.0: 211.0, 18.0: 2.0, 7.0: 34.0, 8.0: 19.0, 20.0: 2.0, 14.0: 2.0, 27.0: 1.0, 6.0: 54.0, 12.0: 4.0, 10.0: 7.0, 16.0: 1.0, 21.0: 1.0, 13.0: 5.0, 64.0: 1.0, 114.0: 1.0, 11.0: 5.0, 56.0: 1.0, 22.0: 3.0, 34.0: 2.0, 57.0: 1.0, 54.0: 1.0, 32.0: 1.0, 26.0: 1.0, 19.0: 1.0, 50.0: 1.0}"
0.873,"{816309.0: 1.0, 1.0: 156454.0, 4.0: 1887.0, 2.0: 5873.0, 6.0: 55.0, 3.0: 1206.0, 9.0: 188.0, 5.0: 160.0, 10.0: 9.0, 7.0: 35.0, 8.0: 31.0, 11.0: 3.0, 27.0: 1.0, 24.0: 1.0, 13.0: 4.0, 29.0: 1.0, 15.0: 4.0, 14.0: 4.0, 25.0: 1.0, 12.0: 2.0, 113.0: 1.0, 333.0: 1.0, 21.0: 1.0, 20.0: 2.0, 49.0: 1.0, 18.0: 1.0, 16.0: 1.0}"
0.873,"{815280.0: 1.0, 1.0: 156886.0, 2.0: 6190.0, 4.0: 1903.0, 5.0: 164.0, 3.0: 1248.0, 10.0: 9.0, 9.0: 204.0, 6.0: 52.0, 11.0: 5.0, 7.0: 41.0, 8.0: 17.0, 19.0: 2.0, 18.0: 4.0, 20.0: 1.0, 109.0: 1.0, 24.0: 1.0, 37.0: 1.0, 12.0: 5.0, 17.0: 1.0, 22.0: 1.0, 52.0: 1.0, 15.0: 1.0, 13.0: 2.0, 25.0: 1.0, 45.0: 1.0}"
0.873,"{795341.0: 1.0, 1.0: 175475.0, 2.0: 6594.0, 4.0: 1940.0, 9.0: 174.0, 5.0: 158.0, 3.0: 1344.0, 7.0: 34.0, 8.0: 28.0, 6.0: 59.0, 26.0: 4.0, 35.0: 1.0, 11.0: 7.0, 23.0: 2.0, 14.0: 4.0, 16.0: 3.0, 10.0: 7.0, 28.0: 1.0, 53.0: 1.0, 12.0: 4.0, 67.0: 1.0, 21.0: 3.0, 13.0: 3.0, 15.0: 6.0, 19.0: 1.0, 64.0: 1.0, 37.0: 1.0, 20.0: 1.0, 18.0: 2.0, 32.0: 1.0}"
0.873,"{816561.0: 1.0, 1.0: 156494.0, 4.0: 1880.0, 2.0: 5809.0, 3.0: 1196.0, 9.0: 193.0, 6.0: 63.0, 5.0: 146.0, 8.0: 17.0, 10.0: 5.0, 7.0: 35.0, 11.0: 5.0, 24.0: 1.0, 28.0: 2.0, 15.0: 3.0, 12.0: 8.0, 45.0: 1.0, 18.0: 2.0, 61.0: 1.0, 382.0: 1.0, 13.0: 3.0, 14.0: 2.0, 30.0: 1.0, 46.0: 1.0}"
0.873,"{815473.0: 1.0, 2.0: 6178.0, 1.0: 156735.0, 4.0: 1887.0, 5.0: 175.0, 3.0: 1208.0, 7.0: 26.0, 6.0: 82.0, 9.0: 209.0, 11.0: 6.0, 8.0: 20.0, 17.0: 3.0, 12.0: 6.0, 113.0: 1.0, 10.0: 5.0, 18.0: 1.0, 34.0: 1.0, 24.0: 1.0, 13.0: 3.0, 33.0: 1.0, 23.0: 2.0, 20.0: 1.0, 29.0: 1.0, 35.0: 1.0, 44.0: 1.0}"
0.873,"{817123.0: 1.0, 1.0: 156621.0, 4.0: 1884.0, 2.0: 5766.0, 3.0: 1181.0, 9.0: 191.0, 5.0: 142.0, 6.0: 45.0, 7.0: 24.0, 8.0: 26.0, 15.0: 3.0, 22.0: 1.0, 39.0: 1.0, 21.0: 1.0, 16.0: 3.0, 12.0: 3.0, 44.0: 1.0, 13.0: 1.0, 17.0: 1.0, 54.0: 1.0, 24.0: 1.0, 14.0: 2.0, 11.0: 4.0, 46.0: 1.0, 49.0: 1.0, 10.0: 4.0}"
0.873,"{795565.0: 1.0, 1.0: 175225.0, 2.0: 6614.0, 4.0: 1923.0, 9.0: 174.0, 3.0: 1358.0, 5.0: 189.0, 6.0: 61.0, 7.0: 33.0, 26.0: 1.0, 31.0: 4.0, 12.0: 3.0, 10.0: 7.0, 19.0: 4.0, 8.0: 19.0, 13.0: 2.0, 15.0: 4.0, 46.0: 1.0, 65.0: 1.0, 11.0: 10.0, 14.0: 1.0, 24.0: 1.0, 16.0: 4.0, 21.0: 3.0, 63.0: 1.0, 44.0: 1.0, 25.0: 1.0, 20.0: 1.0}"
0.873,"{815776.0: 1.0, 2.0: 6099.0, 1.0: 156729.0, 9.0: 207.0, 5.0: 168.0, 4.0: 1858.0, 3.0: 1184.0, 7.0: 40.0, 6.0: 68.0, 8.0: 28.0, 19.0: 1.0, 26.0: 1.0, 10.0: 3.0, 108.0: 1.0, 16.0: 3.0, 11.0: 6.0, 28.0: 3.0, 18.0: 2.0, 32.0: 1.0, 46.0: 1.0, 12.0: 2.0, 21.0: 1.0, 24.0: 1.0, 35.0: 1.0, 57.0: 1.0, 42.0: 1.0}"
0.873,"{817151.0: 1.0, 1.0: 156428.0, 4.0: 1877.0, 2.0: 5806.0, 5.0: 141.0, 9.0: 196.0, 8.0: 16.0, 3.0: 1169.0, 7.0: 26.0, 6.0: 58.0, 11.0: 8.0, 12.0: 3.0, 15.0: 2.0, 23.0: 1.0, 16.0: 3.0, 10.0: 7.0, 42.0: 1.0, 22.0: 3.0, 27.0: 1.0, 13.0: 3.0, 26.0: 1.0, 47.0: 1.0, 41.0: 1.0, 49.0: 1.0, 18.0: 1.0, 17.0: 1.0}"
0.873,"{815847.0: 1.0, 1.0: 156605.0, 10.0: 13.0, 4.0: 1864.0, 3.0: 1203.0, 2.0: 6068.0, 12.0: 2.0, 5.0: 146.0, 9.0: 210.0, 6.0: 71.0, 7.0: 29.0, 19.0: 1.0, 8.0: 25.0, 114.0: 1.0, 17.0: 2.0, 11.0: 4.0, 13.0: 5.0, 36.0: 1.0, 21.0: 2.0, 14.0: 2.0, 28.0: 1.0, 63.0: 1.0, 15.0: 1.0, 25.0: 2.0, 29.0: 1.0, 55.0: 1.0, 22.0: 1.0, 40.0: 1.0, 60.0: 1.0}"
0.873,"{817499.0: 1.0, 1.0: 156199.0, 4.0: 1882.0, 2.0: 5852.0, 5.0: 116.0, 6.0: 56.0, 9.0: 196.0, 3.0: 1175.0, 7.0: 20.0, 13.0: 2.0, 8.0: 14.0, 11.0: 5.0, 10.0: 3.0, 17.0: 3.0, 26.0: 1.0, 12.0: 5.0, 16.0: 2.0, 23.0: 1.0, 15.0: 1.0, 19.0: 2.0, 28.0: 1.0, 27.0: 1.0, 48.0: 1.0, 58.0: 1.0, 50.0: 1.0, 14.0: 2.0, 18.0: 1.0}"
0.873,"{815938.0: 1.0, 1.0: 156313.0, 2.0: 6023.0, 26.0: 1.0, 4.0: 1865.0, 5.0: 174.0, 3.0: 1224.0, 9.0: 210.0, 8.0: 19.0, 10.0: 6.0, 7.0: 29.0, 6.0: 69.0, 18.0: 2.0, 63.0: 1.0, 14.0: 4.0, 15.0: 1.0, 127.0: 1.0, 46.0: 1.0, 11.0: 7.0, 48.0: 1.0, 12.0: 3.0, 17.0: 1.0, 25.0: 1.0, 83.0: 1.0, 13.0: 2.0, 22.0: 2.0, 27.0: 1.0, 31.0: 1.0, 20.0: 2.0, 54.0: 1.0, 37.0: 1.0, 68.0: 1.0}"
0.873,"{814485.0: 1.0, 1.0: 157671.0, 5.0: 173.0, 2.0: 5981.0, 3.0: 1259.0, 4.0: 1893.0, 6.0: 79.0, 9.0: 204.0, 8.0: 22.0, 10.0: 4.0, 14.0: 4.0, 28.0: 2.0, 31.0: 1.0, 12.0: 3.0, 7.0: 17.0, 13.0: 5.0, 74.0: 1.0, 122.0: 1.0, 11.0: 8.0, 61.0: 1.0, 19.0: 1.0, 40.0: 1.0, 35.0: 1.0, 25.0: 2.0, 22.0: 1.0, 57.0: 1.0, 18.0: 2.0, 16.0: 3.0, 17.0: 1.0, 15.0: 1.0, 95.0: 1.0}"
0.873,"{794726.0: 1.0, 1.0: 175576.0, 2.0: 6705.0, 4.0: 1928.0, 9.0: 174.0, 3.0: 1332.0, 5.0: 169.0, 13.0: 4.0, 6.0: 66.0, 7.0: 44.0, 8.0: 17.0, 30.0: 1.0, 25.0: 1.0, 11.0: 6.0, 34.0: 2.0, 16.0: 2.0, 24.0: 1.0, 75.0: 1.0, 10.0: 5.0, 65.0: 1.0, 19.0: 4.0, 31.0: 1.0, 20.0: 1.0, 18.0: 1.0, 22.0: 1.0, 21.0: 1.0, 67.0: 1.0, 15.0: 3.0, 12.0: 5.0, 50.0: 1.0, 17.0: 1.0, 14.0: 1.0, 64.0: 1.0, 27.0: 1.0, 26.0: 2.0, 258.0: 1.0}"
0.873,"{814275.0: 1.0, 1.0: 157738.0, 5.0: 155.0, 2.0: 6069.0, 4.0: 1904.0, 3.0: 1257.0, 9.0: 200.0, 8.0: 18.0, 6.0: 64.0, 30.0: 2.0, 13.0: 7.0, 31.0: 1.0, 7.0: 26.0, 12.0: 8.0, 14.0: 4.0, 15.0: 5.0, 74.0: 1.0, 127.0: 1.0, 17.0: 2.0, 62.0: 1.0, 18.0: 2.0, 21.0: 1.0, 33.0: 1.0, 22.0: 2.0, 10.0: 6.0, 56.0: 1.0, 28.0: 1.0, 11.0: 8.0, 27.0: 1.0, 20.0: 1.0, 39.0: 1.0, 19.0: 1.0}"
0.873,"{815990.0: 1.0, 1.0: 156556.0, 4.0: 1896.0, 2.0: 6026.0, 15.0: 3.0, 3.0: 1165.0, 9.0: 184.0, 5.0: 181.0, 6.0: 71.0, 8.0: 23.0, 10.0: 9.0, 7.0: 23.0, 12.0: 5.0, 16.0: 4.0, 14.0: 3.0, 68.0: 1.0, 28.0: 1.0, 11.0: 4.0, 23.0: 4.0, 53.0: 1.0, 17.0: 3.0, 108.0: 1.0, 27.0: 1.0, 20.0: 1.0, 22.0: 1.0, 36.0: 1.0, 18.0: 1.0, 34.0: 1.0, 19.0: 1.0, 41.0: 1.0, 29.0: 1.0}"
0.873,"{814707.0: 1.0, 2.0: 5928.0, 1.0: 158396.0, 3.0: 1114.0, 4.0: 1913.0, 6.0: 62.0, 9.0: 206.0, 5.0: 157.0, 42.0: 1.0, 57.0: 1.0, 34.0: 1.0, 7.0: 29.0, 8.0: 14.0, 10.0: 2.0, 23.0: 1.0, 37.0: 1.0, 16.0: 2.0, 41.0: 2.0, 15.0: 5.0, 17.0: 1.0, 13.0: 3.0, 11.0: 3.0, 12.0: 5.0, 24.0: 2.0, 14.0: 2.0, 19.0: 1.0, 30.0: 1.0, 45.0: 1.0}"
0.873,"{815849.0: 1.0, 1.0: 157111.0, 4.0: 1892.0, 2.0: 5904.0, 3.0: 1165.0, 6.0: 66.0, 9.0: 192.0, 5.0: 142.0, 7.0: 24.0, 20.0: 3.0, 12.0: 3.0, 8.0: 17.0, 15.0: 3.0, 23.0: 3.0, 13.0: 2.0, 57.0: 1.0, 17.0: 1.0, 11.0: 2.0, 10.0: 5.0, 71.0: 1.0, 16.0: 1.0, 25.0: 1.0, 26.0: 1.0, 149.0: 1.0, 22.0: 1.0, 28.0: 1.0, 30.0: 1.0, 21.0: 1.0, 19.0: 1.0, 31.0: 1.0, 59.0: 1.0, 14.0: 2.0, 64.0: 1.0, 60.0: 1.0}"
0.873,"{814732.0: 1.0, 2.0: 5923.0, 1.0: 158254.0, 4.0: 1892.0, 3.0: 1168.0, 9.0: 205.0, 5.0: 157.0, 7.0: 33.0, 6.0: 61.0, 40.0: 2.0, 57.0: 1.0, 32.0: 1.0, 17.0: 2.0, 10.0: 9.0, 18.0: 1.0, 22.0: 2.0, 33.0: 1.0, 8.0: 9.0, 16.0: 2.0, 19.0: 1.0, 15.0: 4.0, 11.0: 3.0, 12.0: 4.0, 37.0: 1.0, 13.0: 4.0, 38.0: 1.0, 14.0: 2.0, 31.0: 2.0}"
0.873,"{795027.0: 1.0, 1.0: 175813.0, 2.0: 6568.0, 4.0: 1931.0, 9.0: 168.0, 3.0: 1335.0, 47.0: 1.0, 5.0: 182.0, 8.0: 25.0, 19.0: 1.0, 7.0: 37.0, 11.0: 7.0, 6.0: 68.0, 15.0: 3.0, 17.0: 5.0, 10.0: 7.0, 41.0: 1.0, 14.0: 2.0, 32.0: 1.0, 13.0: 3.0, 16.0: 3.0, 12.0: 4.0, 27.0: 1.0, 23.0: 3.0, 28.0: 1.0, 40.0: 1.0, 57.0: 1.0, 24.0: 1.0, 50.0: 1.0, 114.0: 1.0, 18.0: 1.0}"
0.873,"{815640.0: 1.0, 1.0: 156927.0, 4.0: 1890.0, 2.0: 5911.0, 9.0: 186.0, 7.0: 26.0, 8.0: 23.0, 5.0: 139.0, 3.0: 1212.0, 6.0: 68.0, 19.0: 4.0, 10.0: 4.0, 12.0: 6.0, 11.0: 3.0, 85.0: 1.0, 72.0: 1.0, 18.0: 1.0, 14.0: 4.0, 25.0: 1.0, 26.0: 1.0, 21.0: 2.0, 50.0: 1.0, 164.0: 1.0, 30.0: 1.0, 29.0: 2.0, 40.0: 1.0, 52.0: 1.0, 33.0: 1.0, 17.0: 1.0, 39.0: 1.0, 61.0: 1.0, 13.0: 3.0, 66.0: 1.0, 54.0: 1.0, 24.0: 1.0}"
0.873,"{814715.0: 1.0, 2.0: 5938.0, 1.0: 158195.0, 4.0: 1888.0, 3.0: 1182.0, 9.0: 203.0, 5.0: 166.0, 39.0: 1.0, 60.0: 1.0, 32.0: 5.0, 6.0: 57.0, 8.0: 20.0, 7.0: 27.0, 38.0: 1.0, 20.0: 1.0, 31.0: 1.0, 42.0: 1.0, 14.0: 3.0, 21.0: 2.0, 15.0: 3.0, 17.0: 2.0, 11.0: 2.0, 16.0: 1.0, 10.0: 8.0, 13.0: 3.0, 12.0: 1.0, 27.0: 1.0, 19.0: 1.0}"
0.873,"{794923.0: 1.0, 1.0: 175510.0, 2.0: 6651.0, 4.0: 1937.0, 9.0: 174.0, 3.0: 1328.0, 53.0: 1.0, 12.0: 6.0, 5.0: 179.0, 6.0: 74.0, 19.0: 2.0, 7.0: 37.0, 26.0: 1.0, 8.0: 17.0, 15.0: 6.0, 11.0: 6.0, 27.0: 2.0, 14.0: 3.0, 10.0: 9.0, 42.0: 1.0, 63.0: 1.0, 13.0: 4.0, 31.0: 1.0, 16.0: 2.0, 17.0: 1.0, 22.0: 1.0, 32.0: 1.0, 46.0: 1.0, 61.0: 1.0, 21.0: 1.0, 28.0: 1.0, 58.0: 1.0, 36.0: 1.0, 111.0: 1.0, 20.0: 1.0, 30.0: 1.0}"
0.873,"{814777.0: 1.0, 6.0: 56.0, 2.0: 6038.0, 1.0: 157983.0, 3.0: 1182.0, 4.0: 1883.0, 9.0: 208.0, 7.0: 38.0, 5.0: 146.0, 8.0: 19.0, 11.0: 5.0, 23.0: 1.0, 44.0: 1.0, 17.0: 1.0, 53.0: 1.0, 33.0: 1.0, 29.0: 2.0, 43.0: 1.0, 15.0: 2.0, 22.0: 1.0, 10.0: 4.0, 12.0: 4.0, 24.0: 1.0, 21.0: 1.0, 16.0: 2.0, 27.0: 1.0, 26.0: 1.0, 14.0: 1.0, 20.0: 2.0, 32.0: 1.0, 13.0: 1.0, 35.0: 1.0}"
0.873,"{795624.0: 1.0, 1.0: 174746.0, 2.0: 6645.0, 4.0: 1928.0, 9.0: 180.0, 3.0: 1384.0, 5.0: 160.0, 6.0: 85.0, 7.0: 47.0, 8.0: 9.0, 153.0: 1.0, 25.0: 1.0, 11.0: 8.0, 24.0: 1.0, 17.0: 5.0, 33.0: 1.0, 10.0: 10.0, 15.0: 4.0, 44.0: 1.0, 58.0: 1.0, 14.0: 3.0, 23.0: 1.0, 13.0: 6.0, 19.0: 1.0, 12.0: 3.0, 21.0: 1.0, 65.0: 1.0, 34.0: 1.0, 50.0: 1.0, 37.0: 1.0, 16.0: 1.0, 22.0: 1.0, 32.0: 1.0}"
0.873,"{815622.0: 1.0, 1.0: 156897.0, 4.0: 1868.0, 2.0: 5945.0, 5.0: 157.0, 3.0: 1216.0, 9.0: 184.0, 6.0: 73.0, 10.0: 6.0, 8.0: 7.0, 7.0: 27.0, 23.0: 1.0, 12.0: 6.0, 18.0: 5.0, 11.0: 4.0, 91.0: 1.0, 66.0: 1.0, 14.0: 4.0, 22.0: 1.0, 15.0: 1.0, 37.0: 1.0, 21.0: 1.0, 46.0: 1.0, 168.0: 1.0, 33.0: 1.0, 29.0: 2.0, 25.0: 1.0, 20.0: 3.0, 28.0: 1.0, 13.0: 1.0, 43.0: 1.0, 36.0: 1.0, 32.0: 1.0, 19.0: 1.0, 68.0: 1.0, 69.0: 1.0, 52.0: 1.0}"
0.873,"{816083.0: 1.0, 1.0: 156889.0, 4.0: 1906.0, 2.0: 5819.0, 9.0: 190.0, 3.0: 1221.0, 5.0: 132.0, 6.0: 54.0, 7.0: 40.0, 10.0: 9.0, 15.0: 4.0, 8.0: 17.0, 13.0: 6.0, 101.0: 1.0, 18.0: 4.0, 24.0: 2.0, 17.0: 1.0, 35.0: 1.0, 22.0: 1.0, 49.0: 2.0, 38.0: 1.0, 12.0: 3.0, 30.0: 1.0, 27.0: 1.0, 11.0: 3.0, 42.0: 1.0, 19.0: 1.0, 32.0: 1.0, 23.0: 1.0, 71.0: 1.0, 21.0: 1.0}"
0.873,"{794669.0: 1.0, 1.0: 175499.0, 4.0: 1934.0, 2.0: 6787.0, 9.0: 170.0, 3.0: 1296.0, 56.0: 2.0, 12.0: 5.0, 5.0: 165.0, 6.0: 60.0, 8.0: 21.0, 18.0: 2.0, 27.0: 1.0, 7.0: 28.0, 22.0: 1.0, 17.0: 2.0, 20.0: 1.0, 83.0: 1.0, 42.0: 1.0, 11.0: 6.0, 61.0: 1.0, 14.0: 5.0, 26.0: 1.0, 31.0: 2.0, 10.0: 9.0, 28.0: 2.0, 77.0: 1.0, 15.0: 4.0, 32.0: 1.0, 16.0: 5.0, 49.0: 1.0, 60.0: 1.0, 19.0: 2.0, 21.0: 1.0, 45.0: 1.0, 33.0: 1.0, 13.0: 2.0, 34.0: 1.0, 110.0: 1.0, 23.0: 1.0}"
0.873,"{814438.0: 1.0, 1.0: 157946.0, 2.0: 6075.0, 8.0: 18.0, 4.0: 1846.0, 5.0: 160.0, 3.0: 1183.0, 9.0: 209.0, 6.0: 45.0, 15.0: 3.0, 7.0: 42.0, 10.0: 8.0, 150.0: 1.0, 62.0: 1.0, 11.0: 8.0, 36.0: 1.0, 12.0: 4.0, 16.0: 1.0, 46.0: 1.0, 23.0: 2.0, 34.0: 1.0, 19.0: 1.0, 18.0: 1.0, 45.0: 1.0, 37.0: 1.0, 14.0: 1.0, 17.0: 2.0, 13.0: 1.0, 20.0: 1.0, 53.0: 1.0, 240.0: 1.0}"
0.873,"{816078.0: 1.0, 1.0: 156641.0, 4.0: 1909.0, 2.0: 5904.0, 3.0: 1233.0, 9.0: 188.0, 5.0: 138.0, 6.0: 74.0, 8.0: 20.0, 10.0: 2.0, 11.0: 7.0, 7.0: 21.0, 108.0: 1.0, 14.0: 2.0, 13.0: 4.0, 12.0: 6.0, 82.0: 1.0, 16.0: 1.0, 22.0: 3.0, 25.0: 1.0, 20.0: 1.0, 30.0: 1.0, 24.0: 2.0, 18.0: 3.0, 100.0: 1.0, 23.0: 1.0, 21.0: 1.0, 36.0: 1.0, 26.0: 1.0, 19.0: 1.0, 49.0: 1.0, 33.0: 1.0}"
0.873,"{814409.0: 1.0, 1.0: 158050.0, 2.0: 5998.0, 7.0: 29.0, 4.0: 1892.0, 6.0: 60.0, 10.0: 10.0, 3.0: 1191.0, 9.0: 204.0, 8.0: 24.0, 5.0: 152.0, 22.0: 2.0, 13.0: 7.0, 20.0: 3.0, 71.0: 1.0, 144.0: 1.0, 16.0: 2.0, 12.0: 1.0, 64.0: 1.0, 38.0: 1.0, 17.0: 1.0, 58.0: 1.0, 14.0: 2.0, 35.0: 2.0, 11.0: 6.0, 18.0: 1.0, 47.0: 1.0, 27.0: 1.0, 30.0: 1.0, 21.0: 1.0, 15.0: 1.0}"
0.873,"{794507.0: 1.0, 1.0: 175489.0, 4.0: 1943.0, 2.0: 6705.0, 9.0: 168.0, 3.0: 1354.0, 24.0: 2.0, 6.0: 56.0, 5.0: 170.0, 16.0: 2.0, 7.0: 33.0, 15.0: 3.0, 32.0: 2.0, 25.0: 2.0, 8.0: 29.0, 21.0: 1.0, 37.0: 1.0, 10.0: 10.0, 81.0: 1.0, 14.0: 3.0, 11.0: 4.0, 13.0: 7.0, 20.0: 2.0, 31.0: 2.0, 18.0: 2.0, 22.0: 1.0, 73.0: 1.0, 12.0: 2.0, 49.0: 1.0, 63.0: 1.0, 26.0: 1.0, 46.0: 1.0, 17.0: 3.0, 57.0: 1.0, 28.0: 1.0, 104.0: 1.0, 263.0: 1.0}"
0.873,"{816001.0: 1.0, 1.0: 156573.0, 4.0: 1888.0, 2.0: 5983.0, 3.0: 1204.0, 9.0: 185.0, 8.0: 23.0, 5.0: 159.0, 6.0: 68.0, 7.0: 38.0, 17.0: 1.0, 11.0: 4.0, 12.0: 6.0, 10.0: 3.0, 16.0: 3.0, 15.0: 3.0, 69.0: 1.0, 30.0: 2.0, 24.0: 2.0, 27.0: 1.0, 23.0: 3.0, 28.0: 1.0, 22.0: 2.0, 18.0: 2.0, 103.0: 1.0, 33.0: 3.0, 20.0: 2.0, 14.0: 1.0, 19.0: 1.0, 45.0: 1.0, 21.0: 1.0}"
0.873,"{814247.0: 1.0, 1.0: 157777.0, 6.0: 64.0, 4.0: 1888.0, 2.0: 6064.0, 3.0: 1217.0, 9.0: 205.0, 5.0: 166.0, 13.0: 5.0, 22.0: 1.0, 12.0: 6.0, 7.0: 40.0, 31.0: 2.0, 8.0: 17.0, 14.0: 3.0, 17.0: 4.0, 73.0: 1.0, 132.0: 1.0, 63.0: 1.0, 39.0: 1.0, 21.0: 2.0, 16.0: 3.0, 19.0: 3.0, 36.0: 1.0, 11.0: 7.0, 18.0: 1.0, 51.0: 1.0, 15.0: 2.0, 10.0: 7.0, 27.0: 1.0, 20.0: 1.0, 33.0: 1.0, 23.0: 1.0}"
0.873,"{814622.0: 1.0, 2.0: 6054.0, 1.0: 158092.0, 3.0: 1187.0, 4.0: 1867.0, 5.0: 145.0, 9.0: 204.0, 36.0: 1.0, 6.0: 63.0, 14.0: 3.0, 7.0: 34.0, 15.0: 6.0, 8.0: 16.0, 19.0: 1.0, 10.0: 11.0, 56.0: 1.0, 13.0: 4.0, 12.0: 2.0, 11.0: 4.0, 44.0: 1.0, 22.0: 1.0, 32.0: 2.0, 16.0: 1.0, 26.0: 1.0, 35.0: 1.0, 28.0: 1.0, 41.0: 1.0, 27.0: 1.0, 17.0: 1.0, 20.0: 1.0, 31.0: 1.0}"
0.873,"{816687.0: 1.0, 3.0: 1195.0, 1.0: 156224.0, 35.0: 1.0, 4.0: 1885.0, 2.0: 5929.0, 5.0: 148.0, 9.0: 214.0, 6.0: 65.0, 8.0: 19.0, 7.0: 26.0, 77.0: 1.0, 129.0: 1.0, 10.0: 4.0, 62.0: 1.0, 11.0: 5.0, 12.0: 1.0, 15.0: 1.0, 24.0: 1.0, 14.0: 2.0, 13.0: 3.0, 17.0: 1.0, 25.0: 2.0, 20.0: 2.0, 57.0: 1.0, 36.0: 1.0}"
