lambda,second_max_cluster_size,Size,norm
0.85,2026.33875,400,0.0126646171875
0.8501,2088.9281,400,0.013055800625
0.8502,2091.04425,400,0.013069026562499999
0.8503,2082.3665,400,0.013014790625
0.8503999999999999,2071.6318,400,0.01294769875
0.8504999999999999,2101.28045,400,0.0131330028125
0.8505999999999999,2112.78375,400,0.013204898437500001
0.8506999999999999,2090.6792,400,0.013066745
0.8507999999999999,2147.5533,400,0.013422208125
0.8508999999999999,2115.74085,400,0.013223380312500001
0.8509999999999999,2130.00065,400,0.0133125040625
0.8510999999999999,2151.0375,400,0.013443984374999999
0.8511999999999998,2124.7987,400,0.013279991875
0.8512999999999998,2174.64265,400,0.0135915165625
0.8513999999999998,2189.10605,400,0.013681912812499999
0.8514999999999998,2111.1539,400,0.013194711874999999
0.8515999999999998,2187.32735,400,0.0136707959375
0.8516999999999998,2157.9193,400,0.013486995625
0.8517999999999998,2165.55885,400,0.013534742812499998
0.8518999999999998,2172.0572,400,0.013575357500000001
0.8519999999999998,2199.27875,400,0.0137454921875
0.8520999999999997,2170.19535,400,0.013563720937499999
0.8521999999999997,2210.6743,400,0.013816714375
0.8522999999999997,2196.04525,400,0.013725282812500001
0.8523999999999997,2186.8677,400,0.013667923124999998
0.8524999999999997,2240.09005,400,0.014000562812499999
0.8525999999999997,2212.0424,400,0.013825264999999998
0.8526999999999997,2267.00025,400,0.0141687515625
0.8527999999999997,2273.86905,400,0.014211681562499998
0.8528999999999997,2276.9604,400,0.0142310025
0.8529999999999996,2331.7013,400,0.014573133125000002
0.8530999999999996,2311.4599,400,0.014446624375
0.8531999999999996,2304.55265,400,0.014403454062500001
0.8532999999999996,2343.14695,400,0.0146446684375
0.8533999999999996,2327.62385,400,0.0145476490625
0.8534999999999996,2389.57385,400,0.014934836562500001
0.8535999999999996,2509.3295,400,0.015683309375
0.8536999999999996,2598.9583,400,0.016243489375
0.8537999999999996,2641.44125,400,0.0165090078125
0.8538999999999995,2773.57455,400,0.0173348409375
0.8539999999999995,2781.494,400,0.0173843375
0.8540999999999995,2801.3226,400,0.01750826625
0.8541999999999995,2844.02145,400,0.0177751340625
0.8542999999999995,2895.79825,400,0.018098739062499997
0.8543999999999995,2871.0337,400,0.017943960624999998
0.8544999999999995,2997.9774,400,0.018737358750000002
0.8545999999999995,3144.90225,400,0.0196556390625
