Unnamed: 0,lambda,Size,max_cluster_size,second_max_cluster_size,third_max_cluster_size,fourth_max_cluster_size,fifth_max_cluster_size,lambda_group
82,0.855,870.0,8420.904490449046,6412.45504550455,5475.470147014701,4869.909890989099,4435.835483548355,0.855
83,0.855,880.0,8258.521552155216,6300.102810281028,5390.864886488649,4818.788278827883,4393.983798379838,0.855
84,0.855,890.0,8458.253376012804,6416.982694808443,5487.583074922477,4884.405821746524,4450.829648894668,0.855
85,0.855,900.0,8558.635927185436,6534.701140228046,5576.270454090818,4968.936487297459,4530.247349469894,0.855
86,0.855,910.0,8442.177935587117,6481.490798159632,5576.655131026205,4982.82576515303,4546.6853370674135,0.855
87,0.855,920.0,8615.465,6560.6162,5623.8641,5019.9269,4581.9524,0.855
88,0.855,930.0,8587.090618123624,6590.095719143828,5647.268653730746,5060.666333266653,4624.178335667133,0.855
89,0.855,940.0,8859.7884,6754.8341,5750.1292,5144.0706,4701.204,0.855
90,0.855,950.0,8619.304860972194,6631.288157631527,5721.745849169834,5123.977595519104,4680.393478695739,0.855
91,0.855,960.0,8764.626562656265,6718.349634963496,5773.312631263127,5168.002300230023,4727.719071907191,0.855
92,0.855,970.0,8752.617623524706,6752.294858971794,5796.799459891979,5186.773154630926,4745.446089217844,0.855
93,0.855,980.0,8723.848754626388,6741.926577973392,5800.206461938582,5198.56767030109,4761.865459637891,0.855
94,0.855,990.0,9164.1702170217,7032.434343434344,6012.893889388939,5373.577657765776,4903.209520952095,0.855
95,0.855,1000.0,8972.627425485098,6940.309961992399,5968.480596119224,5352.742148429686,4905.190938187638,0.855
25,0.86055,300.0,26708.235094037616,3919.3355342136856,1806.0071028411364,1096.8082232893155,750.7744097639055,0.86055
26,0.86055,310.0,27601.83164949485,4462.3611083325,2060.699809942983,1229.7584275282584,838.2426728018405,0.86055
27,0.86055,320.0,30369.5955786736,4514.052215664699,2016.3593077923376,1218.2628788636591,839.2720816244873,0.86055
28,0.86055,330.0,31445.69227691077,5049.480292116847,2326.326230492197,1382.2289915966387,937.4405762304922,0.86055
29,0.86055,340.0,33107.84459121385,5267.020214149905,2429.3364355048534,1468.4707295106575,1004.9569698789152,0.86055
30,0.86055,350.0,35224.43292987897,5532.201660498149,2536.7201160348104,1533.8978693608085,1059.1039311793538,0.86055
31,0.86055,360.0,37357.67596759676,5725.439943994399,2642.3604360436043,1603.98199819982,1113.6477647764775,0.86055
32,0.86055,370.0,38011.32773109244,6239.873649459784,2920.0829331732693,1796.9166666666667,1250.5400160064023,0.86055
33,0.86055,380.0,39587.78285657131,6697.576415283057,3139.133026605321,1944.765653130626,1346.5089017803562,0.86055
34,0.86055,390.0,41580.11295647824,6999.905352676338,3259.213006503252,1996.8792396198096,1391.6904452226113,0.86055
35,0.86055,400.0,43168.42312693808,7455.842852855857,3538.9802940882264,2181.4174252275684,1521.3164949484844,0.86055
36,0.86055,410.0,46266.03732239344,7677.963678206924,3620.483690214128,2204.387532519512,1532.546627976786,0.86055
37,0.86055,420.0,46359.40314031403,8635.022302230223,4076.252625262526,2498.0496049604963,1723.7543754375438,0.86055
38,0.86055,430.0,50203.25367610283,8553.137541262378,4049.408022406722,2494.035910773232,1729.9223767130138,0.86055
39,0.86055,440.0,50731.5433630089,9062.378513554066,4380.228968690607,2724.3626087826347,1885.8197459237767,0.86055
40,0.86055,450.0,53525.82643057223,9471.59443777511,4495.096538615446,2749.921668667467,1924.6344537815123,0.86055
41,0.86055,460.0,54140.04680936187,10100.260852170431,4871.543108621724,3043.237647529506,2124.5944188837766,0.86055
42,0.86055,470.0,56040.51660332066,10727.42028405681,5241.736647329466,3247.378775755151,2260.533306661332,0.86055
43,0.86055,480.0,58995.68981388833,11008.834700820493,5304.898539123474,3295.1901140684413,2303.6043626175706,0.86055
44,0.86055,490.0,60637.41374824895,11565.307184310586,5630.99319591755,3499.720432259356,2462.483089853912,0.86055
45,0.86055,500.0,63152.00790237071,11881.186155846754,5743.460838251475,3593.029308792638,2511.1341402420726,0.86055
46,0.86055,510.0,66736.5497298379,12282.443566139684,5895.750150090054,3684.86922153292,2604.4572743646186,0.86055
47,0.86055,520.0,67403.89576873062,13240.502750825248,6402.879563869161,3934.888366509953,2767.1829548864657,0.86055
48,0.86055,530.0,69321.8933360016,13693.42505503302,6635.810186111667,4135.689713828297,2898.4097458475085,0.86055
49,0.86055,540.0,71637.8892,13900.0198,6863.3992,4273.4555,2997.6047,0.86055
50,0.86055,550.0,74192.164,14702.0494,7149.1697,4405.8743,3103.758,0.86055
51,0.86055,560.0,77114.6084,15035.2339,7356.6516,4613.5589,3242.2906,0.86055
52,0.86055,570.0,79692.25052526263,15815.211505752875,7595.530465232617,4736.664732366183,3327.0132066033016,0.86055
53,0.86055,580.0,80983.60146014602,16294.508250825082,7997.608560856085,4990.454545454545,3510.748274827483,0.86055
54,0.86055,590.0,87355.44434443445,16255.648264826485,7901.39193919392,4920.253325332534,3454.4817481748173,0.86055
55,0.86055,600.0,86255.7211721172,17626.720672067207,8664.442144214421,5387.5073507350735,3811.51205120512,0.86055
56,0.86055,610.0,88350.44058811762,18154.9449889978,9037.536207241448,5629.45549109822,3961.857071414283,0.86055
57,0.86055,620.0,91404.98649729944,18913.137227445488,9219.769153830766,5794.029605921184,4058.6844368873776,0.86055
58,0.86055,630.0,95069.96089217844,19136.961592318465,9377.559911982396,5807.746849369874,4062.998699739948,0.86055
59,0.86055,640.0,95945.8701740348,20274.44248849769,10078.5675135027,6309.784756951391,4427.275055011002,0.86055
60,0.86055,650.0,96369.62872574516,20521.18793758752,10514.267853570716,6598.315363072615,4678.363172634527,0.86055
61,0.86055,660.0,99942.93858771754,21214.12342468493,10614.15773154631,6778.362372474495,4803.986797359472,0.86055
62,0.86055,670.0,100018.99389877977,22339.07891578316,11337.043808761751,7160.1870374074815,5053.953190638128,0.86055
63,0.86055,680.0,103712.19915974792,23328.44863459038,11673.208962688806,7290.213764129238,5163.574072221667,0.86055
64,0.86055,690.0,106766.70314062812,23523.58781756351,11907.334566913383,7522.24624924985,5379.523704740948,0.86055
65,0.86055,700.0,108996.11833550064,24298.244273281984,12198.069520856256,7808.379013704111,5541.938481544464,0.86055
66,0.86055,710.0,114242.07853141255,24782.07543017207,12467.876950780312,7824.3206282513,5581.523309323729,0.86055
67,0.86055,720.0,115872.52735820746,25380.80254076223,12798.83244973492,8062.767430229069,5768.297989396819,0.86055
68,0.86055,730.0,116901.77073121937,26500.038511553463,13361.939881964588,8474.77733319996,6069.310793237972,0.86055
69,0.86055,740.0,116428.86305891768,27707.69690907272,14120.75642692808,8970.268180454137,6348.366609982995,0.86055
70,0.86055,750.0,128903.06761352273,27336.224444888976,13504.871074214843,8456.897679535907,5948.199939987998,0.86055
71,0.86055,760.0,123752.98279827985,29003.854485448544,14903.665866586658,9442.260226022603,6690.217621762176,0.86055
72,0.86055,770.0,125718.40628125623,29739.7298459692,15379.310962192438,9814.07101420284,6917.191638327666,0.86055
73,0.86055,780.0,131877.85864345738,30095.433773509405,15413.659163665468,9770.943577430971,6996.011104441776,0.86055
74,0.86055,790.0,133106.6309630963,30945.795379537954,15842.88308830883,10094.167216721671,7178.62296229623,0.86055
75,0.86055,800.0,135295.60074029613,31438.63905562225,16304.873949579833,10469.77230892357,7461.33493397359,0.86055
76,0.86055,810.0,138590.23159263705,32694.112845138054,16579.252601040414,10597.668367346938,7610.367446978791,0.86055
77,0.86055,820.0,144383.6829365873,33571.61972394479,16785.71554310862,10761.36947389478,7609.908281656331,0.86055
78,0.86055,830.0,143752.48334833482,35015.69306930693,17911.279427942794,11410.684768476847,8153.075707570757,0.86055
79,0.86055,840.0,146218.4600460046,35454.14211421142,18099.50695069507,11564.793679367936,8323.333333333334,0.86055
80,0.86055,850.0,155158.2098629589,34813.02050615184,17798.369310793238,11416.856857057115,8175.639491847554,0.86055
81,0.86055,860.0,147240.66213106553,37474.60060030015,19351.37418709355,12559.731565782891,9051.39739869935,0.86055
82,0.86055,870.0,155247.43128625726,37781.825565113024,19593.20524104821,12531.21954390878,8956.131126225246,0.86055
83,0.86055,880.0,152242.46534653465,39424.29522952296,20674.61386138614,13304.38603860386,9504.453345334534,0.86055
84,0.86055,890.0,161533.26815363072,38863.28695739148,20326.242348469696,13062.040708141629,9378.532106421284,0.86055
85,0.86055,900.0,166312.02420726218,40937.46854056217,20986.51345403621,13291.848154446334,9493.86966089827,0.86055
86,0.86055,910.0,169253.81982793118,41514.924969988,21437.318027210884,13708.390356142458,9821.157362945178,0.86055
87,0.86055,920.0,169914.27885577115,41825.10602120424,21652.43898779756,14082.4699939988,10166.597919583915,0.86055
88,0.86055,930.0,167553.6806680668,43690.944794479445,23417.662366236626,15149.693569356936,10822.832683268329,0.86055
89,0.86055,940.0,173110.1516,44439.7839,23421.4509,15150.0073,10894.1168,0.86055
90,0.86055,950.0,169775.47284728472,46031.27282728273,24350.992499249925,15985.130613061308,11457.0100010001,0.86055
91,0.86055,960.0,176265.46614661466,47097.41824182418,24713.3601360136,16078.105410541057,11560.54605460546,0.86055
92,0.86055,970.0,181078.7484748475,47323.52385238524,24745.344434443443,16064.301330133014,11540.338233823382,0.86055
93,0.86055,980.0,180491.35190557168,48832.62208662599,25684.20266079824,16613.69400820246,12020.857157147144,0.86055
94,0.86055,990.0,182403.12542508505,50284.95849169834,26684.16183236648,17376.539107821565,12546.87097419484,0.86055
95,0.86055,1000.0,189427.7662831416,50615.72886443222,27039.110455227616,17397.353076538267,12429.813506753377,0.86055
25,0.865,300.0,47344.38821646494,366.6928078423527,177.57297189156748,118.7849354806442,88.52945883765129,0.865
26,0.865,310.0,50522.256351270255,407.66223244648927,193.877975595119,126.92188437687535,95.04180836167234,0.865
27,0.865,320.0,54375.15731573157,399.25542554255424,191.4965496549655,127.21592159215922,95.48284828482848,0.865
28,0.865,330.0,57547.36264505803,417.63845538215287,201.3640456182473,134.77220888355342,101.73509403761504,0.865
29,0.865,340.0,61242.74619847939,438.5841336534614,211.3096238495398,140.94957983193277,106.55252100840336,0.865
30,0.865,350.0,65213.67446744675,407.6619661966197,198.6998699869987,135.73017301730172,103.3853385338534,0.865
31,0.865,360.0,68654.59515951596,450.24242424242425,223.02040204020403,152.51305130513052,116.28742874287428,0.865
32,0.865,370.0,72524.3261,466.7016,238.5719,162.5479,124.1674,0.865
33,0.865,380.0,76639.48219643929,463.2326465293058,231.2278455691138,160.32366473294658,122.94208841768354,0.865
34,0.865,390.0,80719.8574,484.8154,239.7381,164.0266,125.912,0.865
35,0.865,400.0,84612.34023609443,500.27561024409766,254.4122649059624,176.88365346138454,137.0597238895558,0.865
36,0.865,410.0,89238.574714943,493.55741148229646,253.36107221444288,177.749449889978,137.24464892978597,0.865
37,0.865,420.0,93885.01330133014,511.34153415341535,266.17101710171016,183.3480348034804,141.37563756375638,0.865
38,0.865,430.0,98508.50810162032,521.74524904981,269.39587917583515,186.3257651530306,144.21104220844168,0.865
39,0.865,440.0,103146.5899769931,530.1530459137741,272.9173752125638,190.9776933079924,149.6918075422627,0.865
40,0.865,450.0,106955.53421368547,589.6780712284914,300.08053221288515,210.4507803121249,163.05292116846738,0.865
41,0.865,460.0,111781.33936787356,587.5273054610922,308.06601320264053,215.6438287657532,167.42898579715944,0.865
42,0.865,470.0,117172.01790358072,585.4198839767954,309.4515903180636,216.3618723744749,168.7751550310062,0.865
43,0.865,480.0,122198.008,627.1965,324.7806,227.3873,176.9219,0.865
44,0.865,490.0,127978.6574314863,581.9305861172235,307.59391878375675,220.30306061212244,172.1992398479696,0.865
45,0.865,500.0,132177.3494,637.2298,334.4337,236.007,185.4105,0.865
46,0.865,510.0,138055.3314,619.7857,326.0454,232.5782,183.426,0.865
47,0.865,520.0,143255.1182,657.2739,354.2181,252.7801,199.6382,0.865
48,0.865,530.0,149206.2758,647.6047,343.7826,245.9542,193.8084,0.865
49,0.865,540.0,154400.9394,665.6816,361.0738,258.5511,203.8501,0.865
50,0.865,550.0,160163.34743474348,685.5334533453346,373.5815581558156,268.5658565856586,211.76857685768576,0.865
51,0.865,560.0,165679.4817,694.2003,382.6209,277.3133,220.7192,0.865
52,0.865,570.0,172177.35393539353,690.3821382138213,371.7955795579558,268.1894189418942,213.6852685268527,0.865
53,0.865,580.0,178204.10382076414,704.9299859971994,387.96899379875975,277.4552910582116,220.55471094218845,0.865
54,0.865,590.0,183827.51620324064,742.1882376475295,403.59171834366873,291.26555311062214,232.82936587317465,0.865
55,0.865,600.0,191101.395639564,717.5989598959897,393.6657665766577,285.2056205620562,227.6967696769677,0.865
56,0.865,610.0,196772.4023804761,760.8275655131026,420.6329265853171,302.02650530106024,241.0624124824965,0.865
57,0.865,620.0,204413.5078,747.5186,416.6155,299.0433,238.7961,0.865
58,0.865,630.0,209884.794779478,812.2208220822082,441.2406240624063,317.7510751075108,253.6794679467947,0.865
59,0.865,640.0,217863.6302630263,759.5875587558755,423.8828882888289,309.6940694069407,246.92579257925792,0.865
60,0.865,650.0,223566.7603,782.3908,437.7879,321.6242,259.0873,0.865
61,0.865,660.0,231374.4168833767,784.251050210042,445.5169033806761,325.3635727145429,260.7987597519504,0.865
62,0.865,670.0,237142.19,812.8844,456.465,335.8729,271.2255,0.865
63,0.865,680.0,245138.5299529953,842.2103210321033,475.5656565656566,345.8857885788579,277.1706170617062,0.865
64,0.865,690.0,252021.9293929393,820.0124012401241,465.1711171117112,343.2171217121712,275.8183818381838,0.865
65,0.865,700.0,259471.4379,838.8362,477.4367,351.305,283.6414,0.865
66,0.865,710.0,267138.2823,854.2909,485.2553,356.1792,286.8583,0.865
67,0.865,720.0,275617.832,859.3204,483.9073,357.4339,290.0184,0.865
68,0.865,730.0,281182.2546254625,889.8617861786179,510.5104510451045,379.6926692669267,307.4702470247025,0.865
69,0.865,740.0,290103.3809,896.565,509.6941,376.058,304.2281,0.865
70,0.865,750.0,297529.4829,893.2721,514.7068,378.7706,307.4618,0.865
71,0.865,760.0,306055.09341868374,879.9759951990399,511.31896379275855,379.4274854970994,307.9601920384077,0.865
72,0.865,770.0,313401.6761,947.2456,536.0705,396.5524,322.4486,0.865
73,0.865,780.0,322192.21782178216,920.1163116311632,527.7236723672368,396.46214621462144,322.82248224822484,0.865
74,0.865,790.0,331363.4892,943.5361,542.6989,402.213,326.0472,0.865
75,0.865,800.0,339211.67556755675,953.1180118011802,551.3808380838084,409.66706670667065,333.21572157215724,0.865
76,0.865,810.0,347639.6994,970.737,555.5036,411.4067,334.227,0.865
77,0.865,820.0,356381.48209641926,961.6684336867372,563.1521304260853,423.4129825965193,344.61722344468893,0.865
78,0.865,830.0,364111.6841684168,996.2034203420342,579.6140614061406,430.8113811381138,349.0922092209221,0.865
79,0.865,840.0,372417.7319463893,1044.8987797559512,603.123524704941,448.5859171834367,363.93828765753153,0.865
80,0.865,850.0,382154.1792,1009.9938,588.9767,438.6778,357.7727,0.865
81,0.865,860.0,392572.2529252925,1017.7940794079408,591.5824582458246,442.04990499049904,360.6433643364337,0.865
82,0.865,870.0,401681.9689937988,1006.9336867373474,587.0348069613923,439.5536107221444,360.87387477495497,0.865
83,0.865,880.0,410570.00060006,1042.141214121412,604.5645564556455,452.65116511651166,369.984098409841,0.865
84,0.865,890.0,419031.2104,1052.9721,621.9379,468.1194,383.878,0.865
85,0.865,900.0,428985.8005,1063.7379,628.4681,472.1127,385.8098,0.865
86,0.865,910.0,438697.6385,1074.6389,629.8279,474.4605,389.7739,0.865
87,0.865,920.0,446688.015,1123.6015,660.1175,497.1945,407.0082,0.865
88,0.865,930.0,458171.2157,1103.367,645.1709,484.5699,398.1102,0.865
89,0.865,940.0,467518.0773,1050.4428,638.9768,483.4351,396.6944,0.865
90,0.865,950.0,479095.2655,1087.0659,640.3133,486.799,400.741,0.865
91,0.865,960.0,488036.6096219244,1143.8618723744748,664.0432086417284,497.9545909181836,411.368773754751,0.865
92,0.865,970.0,499042.244,1145.1833,673.9566,509.571,419.3151,0.865
93,0.865,980.0,509362.2446,1109.2036,660.4023,498.2888,411.2439,0.865
94,0.865,990.0,519126.0194,1139.2534,675.2612,509.858,420.6773,0.865
95,0.865,1000.0,530099.1228,1158.3907,695.0412,525.0392,431.0745,0.865
