lambda,mean_M,mean_M2,avg_max_cluster_size,median_max_cluster_size,avg_second_max_cluster_size,max_key,chi
0.8010999999999999,0.9902538904412588,0.9806027742046896,92.4477761904762,89.0,78.83489047619048,195.0,6.670641039541181e-09
0.8011999999999999,0.989959257531166,0.9800193394585378,92.74333333333334,90.0,79.09615714285714,207.0,7.886880371010818e-09
0.8012999999999999,0.9901086365731556,0.9803151189378158,93.02420476190476,90.0,79.34489047619047,213.0,6.7210625953606495e-09
0.8013999999999999,0.9901454710499444,0.9803880606390522,93.27404761904762,90.0,79.56325238095238,198.0,6.798335783209097e-09
0.8014999999999999,0.9899456295379004,0.979992357230848,93.5339761904762,90.0,79.79455714285714,195.0,7.789657918699788e-09
0.8015999999999999,0.9898905483611424,0.9798833063533868,93.80284761904764,91.0,80.02464761904761,196.0,8.61866356061114e-09
0.8016999999999999,0.9901615144268672,0.9804198316424948,94.06000952380953,91.0,80.22825238095238,189.0,6.99038771312388e-09
0.8017999999999998,0.9902469328339892,0.980588994464906,94.29690476190476,91.0,80.42574761904761,229.0,6.477782754643613e-09
0.8018999999999998,0.9900915835666656,0.9802813507902254,94.58661904761904,92.0,80.64930952380952,189.0,6.940677810263196e-09
0.8019999999999998,0.9901936987161636,0.9804835677328206,94.79738095238096,92.0,80.83086666666667,188.0,6.755624060161836e-09
0.8020999999999998,0.9898645472510657,0.9798318302779576,95.04256666666669,92.0,81.04180952380952,191.0,8.373400417482912e-09
0.8021999999999998,0.989879039850235,0.9798605217552842,95.23769047619048,92.0,81.20244761904762,200.0,8.220461089614162e-09
0.8022999999999998,0.9898683402379356,0.9798393395453726,95.46472857142857,92.0,81.40334761904762,253.0,8.539967177867425e-09
0.8023999999999998,0.9898445392545064,0.9797922199239132,95.6338761904762,93.0,81.55657619047619,222.0,8.03194699638965e-09
0.8024999999999998,0.9895777388970056,0.9792641104932328,95.83516666666668,93.0,81.75109523809523,194.0,9.172722581496373e-09
0.8025999999999998,0.989691769396464,0.9794898072265372,96.09230476190476,93.0,81.95868095238096,225.0,8.815433605313672e-09
0.8026999999999997,0.989720461025238,0.979546600943998,96.35559523809523,93.0,82.17324761904761,210.0,9.971988346180183e-09
0.8027999999999997,0.9895655945142112,0.979240074997244,96.55699523809524,93.0,82.35683809523809,208.0,9.150979640715207e-09
0.8028999999999997,0.9898192471202214,0.9797421504358992,96.78707619047618,94.0,82.56009047619048,202.0,8.466257250816511e-09
0.8029999999999997,0.9897653511110942,0.9796354590515584,97.1346619047619,94.0,82.82868571428571,182.0,8.79149075760921e-09
0.8030999999999997,0.9895180961720148,0.9791460723520669,97.40511904761904,94.0,83.05843333333333,185.0,9.700178105198631e-09
0.8031999999999997,0.9895478968000412,0.97920504956512,97.63356666666668,94.0,83.26055238095238,228.0,9.503735021176851e-09
0.8032999999999997,0.989472838640213,0.979056509055509,97.82578571428571,95.0,83.45496666666666,223.0,1.064878807355285e-08
0.8033999999999997,0.9896765413061778,0.9794596673083826,98.11479047619048,95.0,83.69263333333333,200.0,1.0896624047518344e-08
0.8034999999999997,0.989772573056221,0.97964975501074,98.4467761904762,95.0,83.95840952380952,202.0,8.636407700102211e-09
0.8035999999999996,0.989492661333084,0.9790957373146972,98.66601428571428,95.0,84.14101428571429,237.0,1.0482667955891145e-08
0.8036999999999996,0.9898075711218516,0.979719036116642,98.90480952380952,96.0,84.35472857142857,249.0,8.266502704579182e-09
0.8037999999999996,0.9896034304587048,0.9793149593680796,99.17812857142856,96.0,84.60358095238095,231.0,9.7924429676155e-09
0.8038999999999996,0.9898010026963552,0.9797060335589132,99.43947142857142,96.0,84.84783809523809,198.0,8.620203106879387e-09
0.8039999999999996,0.9897353973468144,0.9795761658603852,99.68284761904762,96.0,85.07815714285714,227.0,9.099128672751533e-09
0.8040999999999996,0.9897049716965356,0.9795159390267562,100.00554761904762,97.0,85.33403333333334,249.0,8.025915820830676e-09
0.8041999999999996,0.9896338663387296,0.979375199057795,100.33593333333332,97.0,85.58741428571429,215.0,9.653252419639102e-09
0.8042999999999996,0.9894312005122504,0.9789741108784176,100.70628095238096,97.0,85.84479523809524,284.0,1.0331304478583547e-08
0.8043999999999996,0.989452374315262,0.979016010623282,100.97538571428572,98.0,86.0886619047619,264.0,9.585172655590668e-09
0.8044999999999995,0.9894035333649316,0.9789193623554012,101.26510476190477,98.0,86.35733809523809,221.0,1.0520389892576532e-08
0.8045999999999995,0.9894054118696848,0.978923078297584,101.58825238095238,98.0,86.60643809523809,218.0,9.260563427204715e-09
0.8046999999999995,0.9893865527041752,0.9788857618143706,101.83000952380952,98.0,86.83397619047619,252.0,1.1142518907547583e-08
0.8047999999999995,0.9893641682338716,0.9788414677461575,102.08619047619048,99.0,87.05738095238095,219.0,1.0361056901331267e-08
0.8048999999999995,0.989347633158366,0.9788087497991568,102.45929047619047,99.0,87.37186666666666,217.0,1.0563095953486368e-08
0.8049999999999995,0.9893115213044484,0.9787372975953,102.78400952380952,99.0,87.67878095238095,207.0,1.1409577949095251e-08
0.8050999999999995,0.9893321953837078,0.9787782035068878,103.04144285714284,100.0,87.94081904761904,225.0,1.068414090532599e-08
0.8051999999999995,0.989295079008738,0.978704763792036,103.40846666666668,100.0,88.23979523809524,254.0,1.0441130737781634e-08
0.8052999999999995,0.9892453936068216,0.9786064598329342,103.7218761904762,100.0,88.5357380952381,223.0,1.1060618754221707e-08
0.8053999999999994,0.9892337481101354,0.9785834187003868,104.11768571428571,101.0,88.88697619047619,261.0,1.0300359898351985e-08
0.8054999999999994,0.9892840163818996,0.978682875122442,104.49066666666668,101.0,89.24165714285714,239.0,1.0053739507576154e-08
0.8055999999999994,0.9892024617083868,0.9785215215364366,104.8704523809524,102.0,89.58559523809524,230.0,1.128650417570043e-08
0.8056999999999994,0.9891785153802236,0.9784741469673588,105.27279523809524,102.0,89.95107619047619,251.0,1.1677535494136748e-08
0.8057999999999994,0.989077740316391,0.9782747872935104,105.75141904761904,102.0,90.35511428571428,231.0,1.0904132263789279e-08
0.8058999999999994,0.9891322583786648,0.978382636336258,106.27011904761903,103.0,90.77314761904762,230.0,1.1770980301584189e-08
0.8059999999999994,0.989023643673261,0.97816778038045,106.76191904761905,103.0,91.18527142857144,234.0,1.2635716473141656e-08
0.8060999999999994,0.988697847410838,0.9775234465231886,107.28113809523808,104.0,91.62468571428572,214.0,1.3048363833867427e-08
0.8061999999999994,0.9889996932522456,0.978120403906308,107.84810952380953,104.0,92.12911428571428,204.0,1.0653272153327009e-08
0.8062999999999994,0.988905050625801,0.9779332130687908,108.3520523809524,105.0,92.58862857142856,261.0,1.391557269414534e-08
0.8063999999999993,0.9888243794552484,0.9777736661953302,108.8992238095238,105.0,93.08987142857144,194.0,1.279027317391268e-08
0.8064999999999993,0.9889508252334596,0.978023746715143,109.46294285714286,106.0,93.55407142857143,225.0,1.1985202386100013e-08
0.8065999999999993,0.9887837067874272,0.9776932317452154,109.96478095238096,107.0,94.00462857142855,223.0,1.2936930526841195e-08
0.8066999999999993,0.9886003175401687,0.9773306010297717,110.47678095238096,107.0,94.46170952380952,222.0,1.3189249137290915e-08
0.8067999999999993,0.9885422681506474,0.9772158297623952,111.02954761904762,108.0,94.93997142857144,223.0,1.3841968793393278e-08
0.8068999999999993,0.9887215119711558,0.9775702424376618,111.55477142857144,108.0,95.4106380952381,222.0,1.4203133447132643e-08
0.8069999999999993,0.988647436153094,0.9774237670141324,112.06714285714284,109.0,95.89219047619048,287.0,1.4002046189176554e-08
0.8070999999999993,0.9884808533795676,0.9770944137657084,112.60224285714284,109.0,96.34255238095238,217.0,1.6267710178929917e-08
0.8071999999999993,0.9884332462835312,0.9770002967182848,113.20121904761903,110.0,96.8661380952381,230.0,1.4359684885612012e-08
0.8072999999999992,0.9884243428389232,0.9769826954660724,113.72225714285716,110.0,97.32388571428572,230.0,1.3949515209610297e-08
0.8073999999999992,0.988393905405998,0.9769225254282646,114.30401428571427,111.0,97.7973238095238,260.0,1.3184543679045646e-08
0.8074999999999992,0.9883659989007314,0.9768673649249324,114.8979761904762,111.0,98.27403333333334,232.0,1.7141891794913988e-08
0.8075999999999992,0.988331891711553,0.9767999446502592,115.51711904761903,112.0,98.78548095238096,299.0,1.6476122244313274e-08
0.8076999999999992,0.988318289416631,0.9767730571517924,116.12252857142856,113.0,99.30083809523808,229.0,1.5956376775427827e-08
0.8077999999999992,0.9882897890440624,0.9767167222746294,116.8534476190476,113.0,99.8878380952381,331.0,1.5145872001021132e-08
0.8078999999999992,0.9882410176547368,0.9766203245238724,117.55679047619049,114.0,100.4813761904762,251.0,1.5548602516624044e-08
0.8079999999999992,0.9881867238124212,0.97651301821928,118.21359047619048,115.0,101.08399047619048,262.0,1.710015362643702e-08
0.8080999999999992,0.9881471208937964,0.9764347486889392,118.8777761904762,115.0,101.68848095238096,231.0,1.615824007927813e-08
0.8081999999999991,0.9880997243579228,0.9763410806068634,119.57104761904762,116.0,102.32799523809524,266.0,1.5330660407819607e-08
0.8082999999999991,0.988029908823967,0.976203118427184,120.32182857142855,117.0,102.95763333333332,276.0,1.7696487386587023e-08
0.8083999999999991,0.987921692436536,0.9759892874304004,121.07625714285714,117.0,103.61290952380952,271.0,1.7043730649035638e-08
0.8084999999999991,0.988080547653834,0.976303185323724,121.8734238095238,118.0,104.32473333333331,252.0,1.6671823366287697e-08
0.8085999999999991,0.9878313546848296,0.9758108047616276,122.82464285714286,119.0,105.1301,244.0,1.9463161970989518e-08
0.8086999999999991,0.9876227612892786,0.9753987391052742,123.85988571428572,120.0,105.98578095238096,239.0,2.048861480474784e-08
0.8087999999999991,0.9877028822294872,0.9755570024144942,124.79575714285714,121.0,106.8220238095238,264.0,1.8850057847963342e-08
0.8088999999999991,0.9877562852541604,0.975662497301492,125.87908571428572,122.0,107.73438571428572,238.0,1.824239381775783e-08
0.808999999999999,0.9872150366481144,0.974593551759142,126.93266666666666,123.0,108.63821428571428,249.0,2.3175004137954147e-08
0.809099999999999,0.9871600363492966,0.9744849601208057,127.93921904761903,124.0,109.49457142857143,293.0,2.2755661022166862e-08
0.809199999999999,0.9873563012107214,0.974872483347208,128.99206666666666,125.0,110.39130952380953,282.0,1.7806691232635785e-08
0.809299999999999,0.986849739019076,0.973872428941734,129.98088095238094,126.0,111.22588571428572,294.0,2.1539715566731843e-08
