lambda,alpha,s_min,bootstrap-p-u,bootstrap-gof-u,bootstrap-p-r,bootstrap-gof-r,R (pl vs logn),p (pl vs logn),R (pl vs strexp),p (pl vs strexp),R (pl vs exp),p (pl vs exp),R (pl vs pltrc),p (pl vs pltrc)
0.77,2.744403071484373,4,0.0,0.0350634371390505,0.0012,0.0400738803738861,-25.28397471032996,4.715857361926005e-07,-28.236453656795064,2.145488298460185e-07,50.71763534921714,0.0065090349287744,-31.987757414582912,1.2212453270876722e-15
0.78,2.65555378685374,4,0.0016,0.0345224413016344,0.0016,0.0409311845861145,-35.12881777768359,3.942002055589131e-09,-39.28145407644547,1.5244849042017801e-09,106.5129160448438,2.610212215141984e-05,-45.168022442986256,0.0
0.79,2.4755083318046336,4,0.0004,0.0418821409740451,0.0084,0.0336419556296962,-79.74566508207924,7.580691757011897e-18,-89.67029368781591,6.183462299487775e-19,148.13129815613593,1.0263642465120036e-05,-101.26863333925225,0.0
0.8,5.679627640094412,48,0.0008,0.2274873476864575,0.0,0.2334460508187216,-0.2093828493477452,0.7182827432131731,-0.2063987720288018,0.7118937101589587,0.2322245114691767,0.8810756832072639,-0.2014309582675033,0.5256149330362442
0.81,4.843765783132892,54,0.0,0.1455266111934043,0.0,0.1664376418244934,-3.8588462704130686,0.0830861388432717,-4.016785530842475,0.0722860719683756,-4.001469907416731,0.0942508121007343,-3.9757682155891514,0.0048046569860349
0.82,5.982533375962777,145,0.0004,0.2389644601614396,0.0,0.253860412926788,-0.9034721865829032,0.3802142537272003,-0.9801164113157532,0.3600338219340625,-0.9762635244607734,0.3281217196920898,-0.9500849738825226,0.1680592977083767
0.83,5.725355766207435,451,0.002,0.2233276582389024,0.0,0.2416131265315557,-0.8593576244206869,0.4035053295030257,-0.9255543120986376,0.3824829176624079,-0.925101256953111,0.3734957835291888,-0.906840677427052,0.1780672470066844
0.84,5.239431216754921,694,0.0168,0.1829126099120666,0.0,0.1835284835724735,-0.7704612299074931,0.4313447726879371,-0.8188953738418219,0.4130686292371345,-0.778069896765488,0.5309123471114843,-0.8292297862759135,0.1978114376744779
0.85,4.562200068874324,1958,0.262,0.1202258655846089,0.0,0.0622275320276106,-1.228422316954524,0.3071025680185933,-1.33653835033581,0.2836039265747456,-1.3349687435019213,0.3012872888977123,-1.3200742121295397,0.1041938092275864
0.86,1.6073934181846092,9,0.0,0.0879120879120879,0.0,0.08,-25.374488688810462,1.0057779723822942e-05,-17.07452700151359,0.0952712110135872,12639.715111910886,3.1872198377862826e-102,-38.59143568500153,0.0
0.8601,1.6096716330816054,9,0.0,0.0887096774193548,0.0,0.081,-25.12845175353436,1.3312235797955969e-05,-18.408359809729955,0.0630203097484662,12803.852791912244,3.7261233096938105e-88,-35.5170142135205,0.0
0.8602,1.6143556308968172,9,0.0,0.0729729729729729,0.0,0.061,-22.370026440263395,4.577509259457706e-05,-11.741543845169172,0.2589940644695001,12991.254648863343,7.750330004818058e-78,-30.48858534823565,5.773159728050814e-15
0.8603,1.6271054769677424,9,0.99,0.0204818808246106,0.13,0.0244321116996004,-17.0231168628348,0.0004881194531202,-1.8307815578064748,0.8626922429829645,13098.629596709288,3.74499331172918e-74,-21.891419423568227,3.66908725624171e-11
0.8603999999999999,1.750630232557901,208,0.96,0.0202972541204875,0.29,0.0214590127478267,-2.120663730856055,0.1949938538660346,-1.184851302617842,0.692399860880043,937.6141534933251,8.320083994357696e-18,-3.891290084720417,0.0052752401546491
0.8604999999999999,1.7749022349036072,330,1.0,0.0135277843282291,0.02,0.027926571055927,-0.3037251911626146,0.6247433545677636,2.1547210208513974,0.4193161977004866,681.2582292648916,2.763514276851596e-13,-1.2269695919247257,0.1172303442206833
0.8605999999999999,1.7959206202399085,267,1.0,0.0160038222513486,0.07,0.0251280379960322,-0.0030038051335887,0.9626905264478676,4.72259355851069,0.1195876432071314,855.8681985715172,1.5345596473616563e-14,-0.4676275001663184,0.3335011291226846
0.8606999999999999,1.8146903639971697,166,1.0,0.0178326305414296,0.26,0.0220941603240169,0.0097143505266217,0.7653314533224893,6.768884591704071,0.0703320073713462,1389.2606887571983,3.544227965490661e-16,-0.1174916833531831,0.6278531057011566
0.8607999999999999,1.825335249790197,149,1.0,0.0187053180465954,0.0,0.0429494550116776,0.0086213998298019,0.6817993950586692,6.288511309858235,0.0825972649565417,1547.8308487465124,2.326644018599453e-16,-0.0681612120152568,0.7119647431212945
